,type,acc,noise,opt
164,gc,0.47356871130752315,0.8,mean
165,gc,0.6386353409735406,0.8,mean
166,gc,0.46255561894674174,0.8,mean
167,gc,0.669047585830653,0.8,mean
168,gc,0.5691252792586238,0.8,mean
169,gc,0.611503448733776,0.8,mean
170,gc,0.5214710584140232,0.8,mean
171,gc,0.5045611539409546,0.8,mean
172,gc,0.51229437607921,0.8,mean
173,gc,0.37710365017156927,0.8,mean
174,gc,0.4658421407081428,0.8,mean
175,gc,0.4952055275215793,0.8,mean
176,gc,0.49142655152448655,0.8,mean
177,gc,0.4368066113717196,0.8,mean
178,gc,0.45445149733512613,0.8,mean
179,gc,0.43327089121980056,0.8,mean
180,gc,0.5133769286464165,0.9,mean
181,gc,0.5014971550046766,0.9,mean
182,gc,0.6050374740648566,0.9,mean
183,gc,0.43106834933876675,0.9,mean
184,gc,0.39917661824355566,0.9,mean
185,gc,0.5637606081174239,0.9,mean
186,gc,0.39357228465942745,0.9,mean
187,gc,0.5973437289139532,0.9,mean
188,gc,0.47421190073704517,0.9,mean
189,gc,0.5139617885795286,0.9,mean
190,gc,0.4668295785754566,0.9,mean
191,gc,0.41875960044880267,0.9,mean
192,gc,0.4433945111173542,0.9,mean
193,gc,0.2971540759959386,0.9,mean
194,gc,0.39541005554845465,0.9,mean
195,gc,0.4165383594310718,0.9,mean
196,gc,0.3978478832192039,0.9,mean
197,gc,0.3562935861110299,0.9,mean
198,gc,0.389420140361849,0.9,mean
199,gc,0.3609718226470762,0.9,mean
200,gc,0.43828179753305907,1.0,mean
201,gc,0.42571869460269535,1.0,mean
202,gc,0.5203820374326791,1.0,mean
203,gc,0.3606799136741546,1.0,mean
204,gc,0.33109327004606437,1.0,mean
205,gc,0.5011433055728304,1.0,mean
206,gc,0.33096348275672316,1.0,mean
207,gc,0.5215262727286978,1.0,mean
208,gc,0.39586882616685926,1.0,mean
209,gc,0.4250171045897325,1.0,mean
210,gc,0.40690132515014665,1.0,mean
211,gc,0.3403365026942536,1.0,mean
212,gc,0.3816804590964272,1.0,mean
213,gc,0.24898794097933824,1.0,mean
214,gc,0.34000770580108475,1.0,mean
215,gc,0.351866940798383,1.0,mean
216,gc,0.335525629833485,1.0,mean
217,gc,0.29500516735589993,1.0,mean
218,gc,0.3322067472437662,1.0,mean
219,gc,0.3070249723215831,1.0,mean
