,Exponent,Truth Label,Predicted Label,Confidence
213,0.275,2,5,0.0
214,0.275,2,6,0.0035149384885764497
215,0.275,2,7,0.0017574692442882249
216,0.275,3,0,0.008787346221441126
217,0.275,3,1,0.0017574692442882249
218,0.275,3,2,0.0017574692442882249
219,0.275,3,3,0.9736379613356766
220,0.275,3,4,0.0035149384885764497
221,0.275,3,5,0.0017574692442882249
222,0.275,3,6,0.0035149384885764497
223,0.275,3,7,0.005272407732864675
224,0.275,4,0,
225,0.275,4,1,
226,0.275,4,2,
227,0.275,4,3,
228,0.275,4,4,
229,0.275,4,5,
230,0.275,4,6,
231,0.275,4,7,
232,0.275,5,0,
233,0.275,5,1,
234,0.275,5,2,
235,0.275,5,3,
236,0.275,5,4,
237,0.275,5,5,
238,0.275,5,6,
239,0.275,5,7,
240,0.275,6,0,
241,0.275,6,1,
242,0.275,6,2,
243,0.275,6,3,
244,0.275,6,4,
245,0.275,6,5,
246,0.275,6,6,
247,0.275,6,7,
248,0.275,7,0,
249,0.275,7,1,
250,0.275,7,2,
251,0.275,7,3,
252,0.275,7,4,
253,0.275,7,5,
254,0.275,7,6,
255,0.275,7,7,
256,0.32499999999999996,0,0,0.7397660818713451
257,0.32499999999999996,0,1,0.07017543859649122
258,0.32499999999999996,0,2,0.013157894736842105
259,0.32499999999999996,0,3,0.017543859649122806
260,0.32499999999999996,0,4,0.007309941520467836
261,0.32499999999999996,0,5,0.0
262,0.32499999999999996,0,6,0.017543859649122806
263,0.32499999999999996,0,7,0.13450292397660818
264,0.32499999999999996,1,0,0.039473684210526314
265,0.32499999999999996,1,1,0.9576023391812866
266,0.32499999999999996,1,2,0.0029239766081871343
267,0.32499999999999996,1,3,0.0
268,0.32499999999999996,1,4,0.0
269,0.32499999999999996,1,5,0.0
270,0.32499999999999996,1,6,0.0
271,0.32499999999999996,1,7,0.0
272,0.32499999999999996,2,0,0.0
273,0.32499999999999996,2,1,0.0
274,0.32499999999999996,2,2,0.9883040935672515
275,0.32499999999999996,2,3,0.005847953216374269
276,0.32499999999999996,2,4,0.0
